gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,math mark,reading mark,writing mark
male,group A,high school,standard,completed,67,67,63,4,4,3
female,group D,some high school,free/reduced,none,40,59,55,2,3,3
male,group E,some college,free/reduced,none,59,60,50,3,3,3
male,group B,high school,standard,none,77,78,68,4,4,4
male,group E,associate's degree,standard,completed,78,73,68,4,4,4
female,group D,high school,standard,none,63,77,76,3,4,4
female,group A,bachelor's degree,standard,none,62,59,63,3,3,3
male,group E,some college,standard,completed,93,88,84,5,5,5
male,group D,high school,standard,none,63,56,65,3,3,4
male,group C,some college,free/reduced,none,47,42,45,3,2,3
male,group E,some college,standard,completed,99,83,85,5,5,5
female,group D,high school,standard,completed,80,87,90,4,5,5
male,group D,associate's degree,standard,completed,77,87,85,4,5,5
male,group C,high school,standard,completed,74,74,73,4,4,4
male,group E,some high school,standard,completed,81,87,85,4,5,5
male,group E,associate's degree,free/reduced,none,69,61,57,4,3,3
male,group B,high school,standard,none,58,47,42,3,3,2
female,group C,associate's degree,standard,completed,54,62,65,3,3,4
female,group C,associate's degree,free/reduced,none,23,44,44,2,2,2
male,group C,some college,free/reduced,none,39,32,31,2,2,2
female,group C,associate's degree,standard,none,83,76,88,5,4,5
male,group C,associate's degree,standard,none,58,52,55,3,3,3
male,group B,some college,standard,completed,71,69,73,4,4,4
female,group B,some college,free/reduced,none,44,55,54,2,3,3
male,group E,some high school,free/reduced,none,46,38,32,3,2,2
male,group C,high school,free/reduced,none,51,45,42,3,3,2
female,group C,some high school,standard,none,53,60,56,3,3,3
male,group E,high school,standard,none,71,68,60,4,4,3
female,group B,high school,standard,completed,74,89,89,4,5,5
female,group A,some high school,free/reduced,none,33,54,51,2,3,3
male,group B,some college,standard,none,87,79,77,5,4,4
male,group A,bachelor's degree,free/reduced,none,78,74,73,4,4,4
male,group A,some high school,free/reduced,completed,40,41,39,2,2,2
female,group B,associate's degree,standard,completed,65,65,71,4,4,4
female,group B,bachelor's degree,standard,completed,79,88,89,4,5,5
female,group A,bachelor's degree,standard,none,68,74,74,4,4,4
female,group C,some college,standard,completed,57,77,75,3,4,4
male,group B,high school,free/reduced,none,67,65,54,4,4,3
female,group B,some college,free/reduced,completed,58,68,73,3,4,4
male,group E,associate's degree,standard,none,98,81,77,5,4,4
female,group B,master's degree,free/reduced,none,54,75,72,3,4,4
male,group D,high school,standard,none,77,67,64,4,4,3
male,group E,high school,standard,completed,87,79,82,5,4,5
female,group C,master's degree,standard,none,58,70,70,3,4,4
male,group E,high school,standard,none,100,88,87,5,5,5
male,group C,bachelor's degree,standard,none,60,46,51,3,3,3
male,group C,associate's degree,free/reduced,none,64,63,57,3,3,3
female,group E,some high school,standard,completed,65,76,78,4,4,4
female,group D,high school,standard,none,68,72,73,4,4,4
male,group C,associate's degree,free/reduced,completed,60,63,57,3,3,3
male,group D,high school,standard,none,65,68,64,4,4,3
female,group C,some high school,free/reduced,none,52,58,60,3,3,3
female,group C,associate's degree,standard,none,74,81,85,4,4,5
female,group C,high school,free/reduced,none,36,53,49,2,3,3
male,group D,high school,free/reduced,none,57,57,47,3,3,3
female,group C,some college,standard,completed,56,60,62,3,3,3
female,group C,bachelor's degree,standard,completed,67,80,84,4,4,5
male,group D,associate's degree,standard,completed,88,87,83,5,5,5
female,group D,some college,free/reduced,none,42,61,51,2,3,3
male,group E,some high school,standard,none,68,51,48,4,3,3
male,group D,some college,free/reduced,none,76,66,68,4,4,4
female,group E,some high school,standard,none,58,63,59,3,3,3
male,group E,some high school,standard,completed,69,67,62,4,4,3
male,group A,bachelor's degree,standard,completed,77,82,78,4,5,4
male,group D,master's degree,standard,completed,83,93,97,5,5,5
female,group C,some high school,free/reduced,completed,49,74,70,3,4,4
male,group C,high school,standard,none,71,60,56,4,3,3
female,group D,some high school,free/reduced,none,47,46,49,3,3,3
male,group B,high school,standard,none,79,64,60,4,3,3
female,group C,high school,standard,none,60,64,57,3,3,3
female,group C,associate's degree,standard,completed,56,68,73,3,4,4
male,group C,associate's degree,standard,none,57,52,47,3,3,3
female,group B,some college,standard,none,49,70,63,3,4,3
female,group C,some high school,standard,completed,79,76,81,4,4,4
male,group B,master's degree,free/reduced,none,71,76,67,4,4,4
female,group C,high school,standard,none,71,77,70,4,4,4
female,group C,some college,standard,none,47,63,59,3,3,3
female,group D,high school,free/reduced,none,72,91,81,4,5,4
male,group C,associate's degree,standard,none,78,73,76,4,4,4
male,group D,some high school,standard,none,54,43,45,3,2,3
female,group B,bachelor's degree,standard,none,46,59,62,3,3,3
female,group D,some high school,free/reduced,none,31,38,42,2,2,2
female,group C,associate's degree,free/reduced,none,51,59,59,3,3,3
male,group B,high school,standard,completed,78,76,73,4,4,4
female,group B,associate's degree,free/reduced,none,32,41,39,2,2,2
female,group C,some high school,standard,none,53,71,69,3,4,4
female,group C,some college,free/reduced,none,63,76,69,3,4,4
male,group D,some college,standard,none,97,93,88,5,5,5
female,group D,some college,standard,none,56,52,61,3,3,3
male,group B,high school,standard,none,72,76,72,4,4,4
male,group C,some college,free/reduced,none,57,47,42,3,3,2
male,group B,some high school,standard,none,74,71,70,4,4,4
female,group D,master's degree,standard,none,81,81,87,4,4,5
male,group D,bachelor's degree,standard,completed,94,87,93,5,5,5
male,group B,master's degree,free/reduced,none,81,73,72,4,4,4
female,group C,high school,standard,completed,58,63,67,3,3,4
female,group E,associate's degree,standard,completed,95,100,100,5,5,5
male,group B,high school,free/reduced,none,45,52,49,3,3,3
male,group A,some college,standard,none,63,50,49,3,3,3
male,group B,associate's degree,standard,none,60,54,53,3,3,3
male,group C,some college,free/reduced,completed,54,61,62,3,3,3
male,group C,some college,standard,completed,75,78,79,4,4,4
male,group E,high school,standard,none,79,78,77,4,4,4
male,group D,high school,standard,none,66,67,67,4,4,4
female,group B,some college,standard,none,47,58,58,3,3,3
female,group D,bachelor's degree,standard,none,70,78,82,4,4,5
male,group D,high school,standard,none,82,74,73,5,4,4
male,group A,bachelor's degree,standard,none,56,38,44,3,2,2
male,group B,associate's degree,standard,none,92,78,71,5,4,4
male,group C,some college,free/reduced,none,30,33,33,2,2,2
female,group C,some college,standard,completed,79,88,86,4,5,5
female,group D,some high school,standard,none,41,52,47,2,3,3
female,group C,master's degree,standard,none,63,82,71,3,5,4
male,group A,bachelor's degree,free/reduced,none,43,34,33,2,2,2
male,group D,high school,standard,none,77,76,74,4,4,4
male,group B,associate's degree,standard,completed,76,79,76,4,4,4
female,group E,some college,free/reduced,none,49,61,63,3,3,3
male,group C,associate's degree,standard,completed,59,57,55,3,3,3
male,group B,bachelor's degree,free/reduced,none,59,70,58,3,4,3
female,group D,some high school,standard,completed,76,90,87,4,5,5
female,group C,high school,standard,completed,55,71,71,3,4,4
female,group D,bachelor's degree,standard,completed,78,87,89,4,5,5
female,group C,bachelor's degree,standard,completed,51,53,62,3,3,3
female,group C,some high school,standard,completed,41,43,45,2,2,3
female,group D,associate's degree,standard,none,74,78,86,4,4,5
male,group C,master's degree,standard,none,62,54,58,3,3,3
